"ABUNDANCE","BIOMASS","GENUS_SPECIES","SAMPLE_DESC","PLOT","LATITUDE","LONGITUDE","DAY","MONTH","YEAR"
"6","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Ypthima imitans","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Zemeros flegyas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"6","0","Appias albina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"6","0","Athyma asura","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"10","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Cirrochroa tyche","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"3","0","Danaus genutia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"8","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Eurema blanda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Eurema hecabe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Euripus nyctelius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Graphium agamemnon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Graphium sarpedon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Ideopsis similis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Jamides bochus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Lamproptera curius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"4","0","Lethe syrcis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Neptis namba","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Papilio helenus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Papilio paris","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Parantica sita","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"9","0","Pieris canidia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"4","0","Prioneris thestylis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"5","0","Ragadia crisilda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Stibochiona nicea","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"2","0","Vindula erota","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"5","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Ypthima imitans","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"1","0","Zemeros flegyas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","16","10","2003"
"8","0","Appias albina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Appias lyncida","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"10","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Catopsilia pomona","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Cepora nadina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"10","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Danaus genutia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"13","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"2","0","Eurema blanda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"6","0","Eurema hecabe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Graphium sarpedon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Hebomoia glaucippe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Ideopsis similis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Jamides alecto","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Jamides bochus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Lampides boeticus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Lamproptera curius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Lethe confusa","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"7","0","Lethe syrcis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Melanitis leda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Mooreana trichoneura","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Papilio helenus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Parantica sita","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Parnara bada","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Parthenos sylvia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Pelopidas agna","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"10","0","Pieris canidia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Prioneris thestylis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Symbrenthia hypselis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Tagiades litigiosa","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Tirumala septentrionis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Troides aeacus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"1","0","Vanessa cardui","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"5","0","Vindula erota","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"12","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"4","0","Ypthima imitans","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Zemeros flegyas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","10","2003"
"3","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"1","0","Eulacera osteria","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"3","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"1","0","Hebomoia glaucippe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"1","0","Lethe verma","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"2","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"2","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","7","2003"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Astictopterus jama","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"3","0","Hebomoia glaucippe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Hypolimnas bolina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Lethe vindhya","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Papilio memnon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Papilio paris","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Pelopidas agna","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Prioneris thestylis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"2","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Tirumala septentrionis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Vindula erota","21.0833_105.1_T1_2003","T1","21.083300","105.100000","17","8","2003"
"1","0","Appias lyncida","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Heliophorus ila","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Mycalesis inopia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Notocrypta curvifascia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"2","0","Papilio helenus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"3","0","Papilio memnon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Penthema darlisa","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"6","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Ragadia crisilda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Vindula erota","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"11","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Zemeros flegyas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","7","2003"
"1","0","Abisara fylla","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"2","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"2","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Ideopsis similis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Jamides alecto","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Lethe verma","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Mycalesis misenus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Neope muirheadi","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Neptis hylas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Notocrypta curvifascia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Parantica sita","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"6","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"2","0","Pelopidas agna","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"2","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"1","0","Stibochiona nicea","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"2","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","19","8","2003"
"10","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Danaus genutia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Mycalesis mineus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Neptis hylas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"2","0","Papilio memnon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Parantica aglea","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"5","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"2","0","Pelopidas agna","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"8","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Tirumala septentrionis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"7","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","7","2003"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Astictopterus jama","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Catopsilia pomona","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"2","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Neope muirheadi","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"4","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Pelopidas agna","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"2","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Tirumala septentrionis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","20","8","2003"
"1","0","Appias lyncida","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Astictopterus jama","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"2","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Isoteinon lamprospilus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Jamides celeno","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Parantica melaneus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"3","0","Troides aeacus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Ypthima baldus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"1","0","Zemeros flegyas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","21","7","2003"
"2","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Athyma selenophora","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Catopsilia pomona","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"4","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Hebomoia glaucippe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Lamproptera curius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Neptis clinia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"2","0","Papilio memnon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"2","0","Papilio paris","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Parantica melaneus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Parthenos sylvia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Pieris canidia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"4","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Troides aeacus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"1","0","Ypthima imitans","21.0833_105.1_T1_2003","T1","21.083300","105.100000","26","6","2003"
"13","0","Lethe syrcis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"5","0","Melanitis leda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"3","0","Mycalesis inopia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"6","0","Mycalesis misenus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"1","0","Neope muirheadi","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"20","0","Ragadia crisilda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"1","0","Ypthima imitans","21.0833_105.1_T1_2004","T1","21.083300","105.100000","11","10","2004"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Astictopterus jama","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Athyma cama","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"7","0","Cethosia biblis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Charaxes kahruba","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Euploea midamus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"3","0","Euploea mulciber","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Eurema hecabe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"2","0","Hebomoia glaucippe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Heliophorus ila","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Isoteinon lamprospilus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Jamides celeno","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"2","0","Lamproptera curius","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"35","0","Lethe syrcis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Mandarinia regalis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Melanitis leda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"3","0","Mycalesis inopia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"2","0","Mycalesis misenus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Neptis clinia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"2","0","Parnara sp","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Parthenos sylvia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"3","0","Pieris canidia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Pseudozizeeria maha","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"23","0","Ragadia crisilda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Stibochiona nicea","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Vindula erota","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Ypthima baldus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"2","0","Ypthima imitans","21.0833_105.1_T1_2004","T1","21.083300","105.100000","12","10","2004"
"1","0","Appias albina","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Appias indra","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"4","0","Argyreus hyperbius","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Ariadne ariadne","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Astictopterus jama","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Athyma cama","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"8","0","Cethosia biblis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"5","0","Euploea mulciber","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"4","0","Eurema hecabe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Hebomoia glaucippe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"2","0","Jamides bochus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"5","0","Lethe syrcis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Neptis ananta","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Neptis hylas","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Papilio helenus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"2","0","Parantica melaneus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Parantica sita","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"3","0","Parnara sp","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Pieris canidia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"2","0","Prioneris thestylis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"3","0","Pseudozizeeria maha","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"4","0","Ragadia crisilda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"3","0","Vindula erota","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"2","0","Ypthima baldus","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"4","0","Ypthima imitans","21.0833_105.1_T1_2004","T1","21.083300","105.100000","13","10","2004"
"1","0","Astictopterus jama","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"4","0","Cethosia biblis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Cethosia cyane","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"2","0","Cyrestis thyodamas","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"2","0","Euploea mulciber","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Eurema hecabe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Hebomoia glaucippe","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Hypolimnas bolina","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Lethe confusa","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"6","0","Lethe syrcis","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"2","0","Melanitis leda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"2","0","Papilio memnon","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"2","0","Parnara sp","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Pieris canidia","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"3","0","Pseudozizeeria maha","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"4","0","Ragadia crisilda","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
"1","0","Stibochiona nicea","21.0833_105.1_T1_2004","T1","21.083300","105.100000","14","10","2004"
